LotID,Machine,Temp,Pressure,Time,Defect,Output,Yield
L001,A,200,30,60,3,100,97
L002,A,205,32,62,5,100,95
L003,A,198,31,61,2,100,98
L004,A,210,35,65,10,100,90
L005,A,202,33,63,4,100,96
L006,A,201,30,60,2,100,98
L007,A,203,31,61,3,100,97
L008,A,199,29,59,1,100,99
L009,A,204,32,62,4,100,96
L010,A,206,33,63,5,100,95
L011,A,207,34,64,4,100,96
L012,A,200,30,60,2,100,98
L013,A,212,36,67,10,100,90
L014,A,202,31,61,3,100,97
L015,A,203,32,62,4,100,96
L016,A,204,32,63,3,100,97
L017,A,201,30,60,2,100,98
L018,A,205,33,64,5,100,95
L019,A,199,29,59,1,100,99
L020,A,208,35,65,6,100,94
L021,A,202,31,61,3,100,97
L022,A,203,32,62,4,100,96
L023,A,200,30,60,2,100,98
L024,A,209,35,66,7,100,93
L025,A,201,31,60,3,100,97
L026,B,200,30,60,2,100,98
L027,B,201,31,61,3,100,97
L028,B,199,29,59,1,100,99
L029,B,215,36,68,12,100,88
L030,B,203,32,62,4,100,96
L031,B,204,33,63,5,100,95
L032,B,202,31,61,3,100,97
L033,B,205,33,64,5,100,95
L034,B,206,34,65,6,100,94
L035,B,201,30,60,2,100,98
L036,B,203,32,62,4,100,96
L037,B,207,35,66,6,100,94
L038,B,202,31,61,3,100,97
L039,B,204,32,63,4,100,96
L040,B,205,33,64,5,100,95
L041,B,200,30,60,2,100,98
L042,B,208,35,66,7,100,93
L043,B,203,32,62,4,100,96
L044,B,202,31,61,3,100,97
L045,B,206,34,65,6,100,94
L046,B,204,33,63,5,100,95
L047,B,201,30,60,2,100,98
L048,B,207,35,66,7,100,93
L049,B,203,32,62,4,100,96
L050,B,205,33,64,5,100,95
L051,C,200,30,60,2,100,98
L052,C,207,34,64,6,100,94
L053,C,205,33,63,5,100,95
L054,C,220,38,70,15,100,85
L055,C,202,31,61,3,100,97
L056,C,206,34,64,6,100,94
L057,C,208,35,65,7,100,93
L058,C,203,32,62,4,100,96
L059,C,210,36,67,8,100,92
L060,C,204,33,63,5,100,95
L061,C,207,34,65,6,100,94
L062,C,205,33,64,5,100,95
L063,C,209,35,66,8,100,92
L064,C,202,31,61,3,100,97
L065,C,206,34,64,6,100,94
L066,C,211,36,67,9,100,91
L067,C,203,32,62,4,100,96
L068,C,208,35,65,7,100,93
L069,C,204,33,63,5,100,95
L070,C,212,37,68,10,100,90
L071,C,205,33,64,5,100,95
L072,C,207,34,65,6,100,94
L073,C,203,32,62,4,100,96
L074,C,214,37,69,11,100,89
L075,C,206,34,64,6,100,94
